RANK,COUNTRY,SCORE
1,Iceland,1.1
2,New Zealand,1.253
3,Denmark,1.256
4,Portugal,1.267
5,Slovenia,1.315
6,Austria,1.317
7,Switzerland,1.323
8,Ireland,1.326
9,Czech Republic,1.329
10,Canada,1.33
11,Singapore,1.347
12,Japan,1.373
13,Finland,1.402
14,Norway,1.438
15,Sweden,1.46
16,Australia,1.47
,,
= 17,Croatia,1.48
= 17,Germany,1.48
19,Hungary,1.494
20,Belgium,1.496
21,Netherlands,1.506
22,Bhutan,1.51
23,Malaysia,1.515
24,Poland,1.524
25,Romania,1.53
26,Slovakia,1.557
27,Bulgaria,1.577
28,Mauritius,1.592
29,Qatar,1.605
30,Estonia,1.612
31,Spain,1.621
32,Italy,1.652
33,United Kingdom,1.658
34,Taiwan,1.662
35,Latvia,1.686
36,Kuwait,1.688
37,Lithuania,1.689
38,Ghana,1.715
39,Costa Rica,1.735
40,North Macedonia,1.744
41,Botswana,1.753
= 42,Indonesia,1.783
= 42,Mongolia,1.783
44,Serbia,1.797
null,null,
45,Laos,1.809
46,Sierra Leone,1.813
47,Uruguay,1.817
48,Albania,1.824
49,Chile,1.831
50,Vietnam,1.835
51,Montenegro,1.847
52,United Arab Emirates,1.848
53,The Gambia,1.853
54,Senegal,1.864
55,France,1.868
56,Timor-Leste,1.873
57,South Korea,1.877
58,Tanzania,1.892
= 59,Malawi,1.909
= 59,Moldova,1.909
61,Cyprus,1.912
62,Equatorial Guinea,1.915
63,Jordan,1.916
64,Panama,1.919
65,Namibia,1.927
66,Greece,1.932
67,Kazakhstan,1.936
68,Argentina,1.945
69,Eswatini,1.955
70,Madagascar,1.963
71,Zambia,1.964
72,Bosnia and,1.97
null,Herzegovina,
73,Oman,1.982
74,Jamaica,1.992
75,Paraguay,1.997
= 76,Kyrgyz Republic,1.998
= 76,Liberia,1.998
78,Cambodia,2.008
79,Morocco,2.015
= 80,Angola,2.017
= 80,Kosovo,2.017
82,Dominican Republic,2.024
83,Rwanda,2.028
null,null,
84,Trinidad and Tobago,2.029
85,Nepal,2.033
86,Peru,2.034
87,Cuba,2.042
88,Ecuador,2.044
89,Georgia,2.054
90,Uzbekistan,2.062
91,Bangladesh,2.068
,,
92,Guinea,2.069
93,Gabon,2.074
94,Armenia,2.075
95,Sri Lanka,2.083
96,Benin,2.093
97,Tajikistan,2.095
98,Tunisia,2.108
99,Guinea-Bissau,2.113
= 100,China,2.114
= 100,Guyana,2.114
102,Bahrain,2.121
= 103,Cote d' Ivoire,2.123
,,
= 103,Mozambique,2.123
105,Bolivia,2.14
106,Djibouti,2.146
107,Papua New Guinea,2.149
108,Haiti,2.151
109,Turkmenistan,2.154
110,El Salvador,2.184
111,Guatemala,2.195
112,Lesotho,2.202
113,Thailand,2.205
114,Uganda,2.219
115,Togo,2.239
116,Kenya,2.254
117,Belarus,2.285
118,Mauritania,2.29
119,Republic of the,2.291
,Congo,
120,Algeria,2.31
121,Azerbaijan,2.334
,United States of,
122,America,2.337
123,South Africa,2.344
124,Honduras,2.371
125,Saudi Arabia,2.376
126,Egypt,2.397
127,Philippines,2.417
128,Brazil,2.43
129,Burundi,2.434
130,Nicaragua,2.445
,null,
131,Myanmar,2.457
132,Chad,2.489
133,Zimbabwe,2.49
134,Burkina Faso,2.527
135,India,2.553
136,Eritrea,2.555
137,Niger,2.589
138,Palestine,2.61
139,Ethiopia,2.613
140,Mexico,2.62
141,Iran,2.637
142,Ukraine,2.66
143,Israel,2.669
144,Colombia,2.694
145,Cameroon,2.7
146,Nigeria,2.712
,null,
147,Lebanon,2.797
148,Mali,2.813
149,Turkey,2.843
150,Pakistan,2.868
151,North Korea,2.923
152,Venezuela,2.934
153,Sudan,2.936
154,Russia,2.993
155,"Central African
Republic",3.131
,null,
156,Libya,3.166
157,Democratic Republic,3.196
,of the Congo,
158,Somalia,3.211
159,Iraq,3.257
160,South Sudan,3.363
161,Syria,3.371
162,Yemen,3.407
163,Afghanistan,3.631
,null,
,null,
