"Country or Area","Year","Area","Sex","Religion","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Albania","2011","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","2800138",""
"Albania","2011","Total","Both Sexes","Atheist","Census - de jure - complete tabulation","Final figure, complete","2013","69995",""
"Albania","2011","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","280921",""
"Albania","2011","Total","Both Sexes","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","3797",""
"Albania","2011","Total","Both Sexes","Muslim","Census - de jure - complete tabulation","Final figure, complete","2013","1587608",""
"Albania","2011","Total","Both Sexes","Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","188992",""
"Albania","2011","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","602",""
"Albania","2011","Total","Both Sexes","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2013","1919",""
"Albania","2011","Total","Both Sexes","Refused to answer","Census - de jure - complete tabulation","Final figure, complete","2013","386024",""
"Albania","2011","Total","Both Sexes","Bektashism","Census - de jure - complete tabulation","Final figure, complete","2013","58628",""
"Albania","2011","Total","Both Sexes","Believers without denomination","Census - de jure - complete tabulation","Final figure, complete","2013","153630",""
"Albania","2011","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","68022",""
"Anguilla","2001","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2003","11430",""
"Anguilla","2001","Total","Both Sexes","Anglican","Census - de facto - complete tabulation","Final figure, complete","2003","3313",""
"Anguilla","2001","Total","Both Sexes","Baptist","Census - de facto - complete tabulation","Final figure, complete","2003","833",""
"Anguilla","2001","Total","Both Sexes","Brethren","Census - de facto - complete tabulation","Final figure, complete","2003","39",""
"Anguilla","2001","Total","Both Sexes","Church of God","Census - de facto - complete tabulation","Final figure, complete","2003","869",""
"Anguilla","2001","Total","Both Sexes","Evangelical","Census - de facto - complete tabulation","Final figure, complete","2001","60",""
"Anguilla","2001","Total","Both Sexes","Hindu","Census - de facto - complete tabulation","Final figure, complete","2003","45",""
"Anguilla","2001","Total","Both Sexes","Jehovah Witness","Census - de facto - complete tabulation","Final figure, complete","2003","81",""
"Anguilla","2001","Total","Both Sexes","Jewish","Census - de facto - complete tabulation","Final figure, complete","2003","16",""
"Anguilla","2001","Total","Both Sexes","Methodist","Census - de facto - complete tabulation","Final figure, complete","2003","2733",""
"Anguilla","2001","Total","Both Sexes","Muslim","Census - de facto - complete tabulation","Final figure, complete","2003","36",""
"Anguilla","2001","Total","Both Sexes","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2003","878",""
"Anguilla","2001","Total","Both Sexes","Presbyterian","Census - de facto - complete tabulation","Final figure, complete","2003","25",""
"Anguilla","2001","Total","Both Sexes","Rastafarian","Census - de facto - complete tabulation","Final figure, complete","2003","82",""
"Anguilla","2001","Total","Both Sexes","Roman Catholic","Census - de facto - complete tabulation","Final figure, complete","2003","654",""
"Anguilla","2001","Total","Both Sexes","Seventh Day Adventist","Census - de facto - complete tabulation","Final figure, complete","2003","871",""
"Anguilla","2001","Total","Both Sexes","Other Religions","Census - de facto - complete tabulation","Final figure, complete","2003","400",""
"Anguilla","2001","Total","Both Sexes","No Religion","Census - de facto - complete tabulation","Final figure, complete","2003","456",""
"Anguilla","2001","Total","Both Sexes","Not Specified","Census - de facto - complete tabulation","Final figure, complete","2003","39",""
"Antigua and Barbuda","2001","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2009","76886",""
"Antigua and Barbuda","2001","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2009","19767",""
"Antigua and Barbuda","2001","Total","Both Sexes","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2009","51",""
"Antigua and Barbuda","2001","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2009","3777",""
"Antigua and Barbuda","2001","Total","Both Sexes","Brethren","Census - de jure - complete tabulation","Final figure, complete","2009","194",""
"Antigua and Barbuda","2001","Total","Both Sexes","Church of God","Census - de jure - complete tabulation","Final figure, complete","2009","3443",""
"Antigua and Barbuda","2001","Total","Both Sexes","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2009","1982",""
"Antigua and Barbuda","2001","Total","Both Sexes","Hindu","Census - de jure - complete tabulation","Final figure, complete","2009","189",""
"Antigua and Barbuda","2001","Total","Both Sexes","Islam ","Census - de jure - complete tabulation","Final figure, complete","2009","228",""
"Antigua and Barbuda","2001","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2009","1257",""
"Antigua and Barbuda","2001","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2009","6091",""
"Antigua and Barbuda","2001","Total","Both Sexes","Moravian","Census - de jure - complete tabulation","Final figure, complete","2009","8057",""
"Antigua and Barbuda","2001","Total","Both Sexes","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2009","8118",""
"Antigua and Barbuda","2001","Total","Both Sexes","Presbyterian","Census - de jure - complete tabulation","Final figure, complete","2009","205",""
"Antigua and Barbuda","2001","Total","Both Sexes","Rastafarian","Census - de jure - complete tabulation","Final figure, complete","2009","973",""
"Antigua and Barbuda","2001","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2009","8021",""
"Antigua and Barbuda","2001","Total","Both Sexes","Salvation Army","Census - de jure - complete tabulation","Final figure, complete","2009","444",""
"Antigua and Barbuda","2001","Total","Both Sexes","Seventh Day Adventist","Census - de jure - complete tabulation","Final figure, complete","2009","9436",""
"Antigua and Barbuda","2001","Total","Both Sexes","Spiritualist","Census - de jure - complete tabulation","Final figure, complete","2009","66",""
"Antigua and Barbuda","2001","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2009","116",""
"Antigua and Barbuda","2001","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2009","3145",""
"Antigua and Barbuda","2001","Total","Both Sexes","Not Declared","Census - de jure - complete tabulation","Final figure, complete","2009","1329",""
"Armenia","2011","Total","Both Sexes","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","2796519",""
"Armenia","2011","Total","Both Sexes","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","7532",""
"Armenia","2011","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","13843",""
"Armenia","2011","Total","Both Sexes","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","29280",""
"Armenia","2011","Total","Both Sexes","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","5434",""
"Armenia","2011","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","7888",""
