RANK;COUNTRY;GAI
1;Iceland;9,78
2;Netherlands;9,46
3;Norway;9,38
4;Sweden;9,18
5;Canada;9,02
6;Spain;8,77
7;Denmark;8,69
8;Ireland;8,41
9;United Kingdom;8,34
10;New Zealand;8,23
11;Australia;8,03
12;Malta;8,01
13;Switzerland;8
14;Finland;7,96
15;Belgium;7,95
16;Uruguay;7,9
17;Nepal;7,84
18;Luxembourg;7,82
19;France;7,73
20;Germany;7,73
21;Puerto Rico;7,52
22;Andorra;7,48
23;United States;7,42
24;Brazil;7,22
25;Austria;7,2
26;Argentina;7,07
27;Italy;6,94
28;Portugal;6,87
29;Chile;6,83
30;Cape Verde;6,78
31;Mexico;6,5
32;Hong Kong;6,38
33;Costa Rica;6,35
34;Slovenia;6,21
35;Colombia;6,1
36;Philippines;6,06
37;South Africa;6,01
38;Czech Republic;5,87
39;Singapore;5,86
40;Thailand;5,81
41;Cuba;5,8
42;Taiwan;5,74
43;Bahrain;5,73
44;Israel;5,69
45;Northern Cyprus;5,59
46;Nicaragua;5,57
47;Venezuela;5,51
48;Ecuador;5,47
49;Greece;5,44
50;Mauritius;5,34
51;India;5,28
52;Panama;5,28
53;Japan;5,26
54;Estonia;5,25
55;Bolivia;5,24
56;El Salvador;5,22
57;Syria;5,22
58;Cyprus;5,16
59;Poland;5,15
60;Honduras;5,15
61;Peru;5,15
62;Hungary;5,08
63;Croatia;5,05
64;Vietnam;4,99
65;Dominican Republic;4,98
66;Cambodia;4,96
67;Namibia;4,93
68;Mozambique;4,92
69;Laos;4,89
70;Slovakia;4,82
71;Paraguay;4,74
72;Guatemala;4,71
73;Trinidad and Tobago;4,7
74;Suriname;4,64
75;South Korea;4,53
76;Barbados;4,43
77;Latvia;4,42
78;Lithuania;4,38
79;Guyana;4,36
80;Botswana;4,3
81;Algeria;4,28
82;Bulgaria;4,19
83;Bhutan;4,18
84;Lesotho;4,18
85;Belize;4,14
86;Myanmar;4,11
87;Romania;4,1
88;Bahamas;4,09
89;Macao;4,01
90;Turkey;3,94
91;Grenada;3,88
92;Benin;3,88
93;Jamaica;3,83
94;Iraq;3,81
95;Saint Lucia;3,8
96;Libya;3,78
97;Serbia;3,71
98;Saint Kitts and Nevis;3,71
99;Bangladesh;3,69
100;China;3,69
101;Uzbekistan;3,68
102;Pakistan;3,66
103;Angola;3,66
104;Uganda;3,63
105;Lebanon;3,63
106;Kenya;3,62
107;Kuwait;3,61
108;Saudi Arabia;3,6
109;Dominica;3,56
110;Cote D' Ivoire;3,55
111;Qatar;3,54
112;Montenegro;3,53
113;Kosovo;3,52
114;Antigua and Barbuda;3,52
115;Malaysia;3,48
116;Comoros;3,47
117;Yemen;3,41
118;Morocco;3,39
119;Tunisia;3,38
120;Belarus;3,38
121;Madagascar;3,36
122;Afghanistan;3,32
123;Haiti;3,32
124;Democratic Republic of the Congo;3,32
125;Burundi;3,3
126;Russia;3,28
127;Republic of the Congo;3,27
128;Tanzania;3,27
129;Sri Lanka;3,23
130;Palestine;3,2
131;Togo;3,15
132;Sao Tome and Principe;3,15
133;North Macedonia;3,13
134;Guinea;3,06
135;Saint Vincent and the Grenadines;3,04
136;Swaziland;3,02
137;Sudan;2,99
138;Sierra Leone;2,97
139;Niger;2,97
140;Burkina Faso;2,96
141;Georgia;2,94
142;Ukraine;2,91
143;Djibouti;2,89
144;Bosnia And Herzegovina;2,87
145;Gabon;2,8
146;Cameroon;2,79
147;Indonesia;2,79
148;Rwanda;2,77
149;Mali;2,74
150;South Sudan;2,73
151;Chad;2,72
152;Mongolia;2,71
153;Kazakhstan;2,69
154;Ghana;2,68
155;Albania;2,65
156;Liberia;2,65
157;Central African Republic;2,62
158;Nagorno- Karabakh;2,54
159;Egypt;2,48
160;Gambia;2,44
161;Nigeria;2,18
162;Armenia;2,17
163;Kyrgyzstan;2,16
164;Iran;2,11
165;Zambia;2,04
166;Moldova;1,91
167;Jordan;1,87
168;Senegal;1,85
169;Mauritania;1,77
170;Malawi;1,75
171;Ethiopia;1,63
172;Somalia;1,59
173;Zimbabwe;1,57
174;Tajikistan;1,56
175;Azerbaijan;1,42
