Country,Country Code,Average Hotel and Restaurant Cost,Type Traveler,Iso3
Albania,ALB,50.78,Budget Traveler,ALB
Algeria,DZA,33.93,Budget Traveler,DZA
Angola,AGO,79.22,Budget Traveler,AGO
Antigua And Barbuda,ATG,105.93,Budget Traveler,ATG
Argentina,ARG,89.24,Budget Traveler,ARG
Armenia,ARM,68.35,Budget Traveler,ARM
Aruba,ABW,96.84,Budget Traveler,ABW
Australia,AUS,161.57,Budget Traveler,AUS
Austria,AUT,132.87,Budget Traveler,AUT
Azerbaijan,AZE,59.3,Budget Traveler,AZE
"Bahamas, The",BHS,118.98,Budget Traveler,BHS
"Bahamas, The",BHS,118.98,Budget Traveler,BHS
"Bahamas, The",BHS,118.98,Budget Traveler,BHS
Bahrain,BHR,79.28,Budget Traveler,BHR
Bangladesh,BGD,40.86,Budget Traveler,BGD
Barbados,BRB,124.83,Budget Traveler,BRB
Belarus,BLR,66.36,Budget Traveler,BLR
Belgium,BEL,149.13,Budget Traveler,BEL
Belize,BLZ,66.3,Budget Traveler,BLZ
Benin,BEN,57.19,Budget Traveler,BEN
Bermuda,BMU,198.36,Budget Traveler,BMU
Bhutan,BTN,33.69,Budget Traveler,BTN
Bolivia,BOL,43.09,Budget Traveler,BOL
Bolivia,BOL,43.09,Budget Traveler,BOL
Bolivia,BOL,43.09,Budget Traveler,BOL
Bolivia,BOL,43.09,Budget Traveler,BOL
Bosnia And Herzegovina,BIH,68.98,Budget Traveler,BIH
Bosnia And Herzegovina,BIH,68.98,Budget Traveler,BIH
Bosnia And Herzegovina,BIH,68.98,Budget Traveler,BIH
Botswana,BWA,93.59,Budget Traveler,BWA
Brazil,BRA,90.79,Budget Traveler,BRA
Brunei Darussalam,BRN,50.86,Budget Traveler,BRN
Brunei Darussalam,BRN,50.86,Budget Traveler,BRN
Bulgaria,BGR,56.23,Budget Traveler,BGR
Burkina Faso,BFA,44.87,Budget Traveler,BFA
Burundi,BDI,43.29,Budget Traveler,BDI
Cabo Verde,CPV,64.65,Budget Traveler,CPV
Cabo Verde,CPV,64.65,Budget Traveler,CPV
Cambodia,KHM,41.38,Budget Traveler,KHM
Cameroon,CMR,54.39,Budget Traveler,CMR
Canada,CAN,148.32,Budget Traveler,CAN
Cayman Islands,CYM,163.79,Budget Traveler,CYM
Central African Republic,CAF,86.26,Budget Traveler,CAF
Chad,TCD,46.19,Budget Traveler,TCD
Chile,CHL,104.37,Budget Traveler,CHL
China,CHN,75.24,Budget Traveler,CHN
Colombia,COL,60.78,Budget Traveler,COL
Comoros,COM,62.8,Budget Traveler,COM
"Congo, Dem. Rep.",COD,67.02,Budget Traveler,COD
"Congo, Dem. Rep.",COD,67.02,Budget Traveler,COD
"Congo, Dem. Rep.",COD,67.02,Budget Traveler,COD
"Congo, Dem. Rep.",COD,67.02,Budget Traveler,COD
