Name,Iso3,Continent,SubContinent
Aruba,ABW,Latin America and the Caribbean,Caribbean
Andorra,ADO,Europe,Southern Europe
Afghanistan,AFG,"South, East and South-Eastern Asia",Southern Asia
Angola,AGO,Africa,Middle Africa
Albania,ALB,Europe,Southern Europe
United Arab Emirates,ARE,Central Asia and the middle east,Western Asia
Argentina,ARG,Latin America and the Caribbean,South America
Armenia,ARM,Central Asia and the middle east,Western Asia
American Samoa,ASM,Oceania,Polynesia
Antigua And Barbuda,ATG,Latin America and the Caribbean,Caribbean
Australia,AUS,Oceania,Australia and New Zealand
Austria,AUT,Europe,Western Europe
Azerbaijan,AZE,Central Asia and the middle east,Western Asia
Burundi,BDI,Africa,Eastern Africa
Belgium,BEL,Europe,Western Europe
Benin,BEN,Africa,Western Africa
Burkina Faso,BFA,Africa,Western Africa
Bangladesh,BGD,"South, East and South-Eastern Asia",Southern Asia
Bulgaria,BGR,Europe,Eastern Europe
Bahrain,BHR,Central Asia and the middle east,Western Asia
The Bahamas,BHS,Latin America and the Caribbean,Caribbean
Bahamas,BHS,Latin America and the Caribbean,Caribbean
"Bahamas, The",BHS,Latin America and the Caribbean,Caribbean
Bosnia & Herzegovina,BIH,Europe,Southern Europe
Bosnia And Herzegovina,BIH,Europe,Southern Europe
Bosnia,BIH,Europe,Southern Europe
Belarus,BLR,Europe,Eastern Europe
Belize,BLZ,Latin America and the Caribbean,Central America
Bermuda,BMU,Northern America,Northern America
Bolivia (Plur. State Of),BOL,Latin America and the Caribbean,South America
Bolivia,BOL,Latin America and the Caribbean,South America
Bolivia (Plurinational State Of),BOL,Latin America and the Caribbean,South America
Bolivia (Plurinational State Of),BOL,Latin America and the Caribbean,South America
Brazil,BRA,Latin America and the Caribbean,South America
Barbados,BRB,Latin America and the Caribbean,Caribbean
Brunei,BRN,"South, East and South-Eastern Asia",South-Eastern Asia
Brunei Darussalam,BRN,"South, East and South-Eastern Asia",South-Eastern Asia
Bhutan,BTN,"South, East and South-Eastern Asia",Southern Asia
Botswana,BWA,Africa,Southern Africa
Central African Republic,CAF,Africa,Middle Africa
Canada,CAN,Northern America,Northern America
Switzerland,CHE,Europe,Western Europe
Channel Islands,CHI,Europe,Northern Europe
Chile,CHL,Latin America and the Caribbean,South America
China,CHN,"South, East and South-Eastern Asia",Eastern Asia
Cote Divoire (Ivorycoast),CIV,Africa,Western Africa
Cote D' Ivoire,CIV,Africa,Western Africa
Cote D'Ivoire,CIV,Africa,Western Africa
Côte D'Ivoire,CIV,Africa,Western Africa
Czechia,CIV,Africa,Western Africa
Cameroon,CMR,Africa,Middle Africa
"Congo, Republic Of",COG,Africa,Middle Africa
"Congo, Rep.",COG,Africa,Middle Africa
Congo (Brazzaville),COG,Africa,Middle Africa
Congo,COG,Africa,Middle Africa
Colombia,COL,Latin America and the Caribbean,South America
Comoros,COM,Africa,Eastern Africa
Cabo Verde,CPV,Africa,Western Africa
Cape Verde,CPV,Africa,Western Africa
Costa Rica,CRI,Latin America and the Caribbean,Central America
Cuba,CUB,Latin America and the Caribbean,Caribbean
Curacao,CUW,Latin America and the Caribbean,Caribbean
Cayman Islands,CYM,Latin America and the Caribbean,Caribbean
