,Country,Ratings,Iso3
0,Italy,4.72,ITA
1,Greece,4.69,GRC
2,Spain,4.59,ESP
3,Japan,4.59,JPN
4,India,4.54,IND
5,Mexico,4.53,MEX
6,Turkiye,4.52,TUR
7,Usa,4.51,USA
8,France,4.51,FRA
9,Peru,4.51,PER
10,China,4.49,CHN
11,Brazil,4.49,BRA
12,Portugal,4.47,PRT
13,Poland,4.44,POL
14,Germany,4.37,DEU
15,Indonesia,4.37,IDN
16,Croatia,4.33,HRV
17,Argentina,4.33,ARG
18,Korea,4.31,KOR
19,Vietnam,4.31,VNM
20,Hungary,4.26,HUN
21,Romania,4.25,ROU
22,Philippines,4.25,PHL
23,Georgia,4.23,GEO
24,Serbia,4.23,SRB
25,Iran,4.23,IRN
26,Czech Republic,4.21,CZE
27,Bulgaria,4.2,BGR
29,Thailand,4.16,THA
30,Belgium,4.14,BEL
31,Netherlands,4.1,NLD
32,Austria,4.09,AUT
33,Algeria,4.07,DZA
34,Denmark,4.05,DNK
35,Syria,4.03,SYR
36,South Africa,4.03,ZAF
38,Malaysia,3.99,MYS
39,Lebanon,3.99,LBN
40,Ukraine,3.98,UKR
42,Bangladesh,3.97,BGD
43,Lithuania,3.96,LTU
44,Taiwan,3.96,TWN
45,Paraguay,3.96,PRY
46,Tunisia,3.95,TUN
47,Uruguay,3.95,URY
48,Pakistan,3.95,PAK
49,United Kingdom,3.9475,GBR
50,Egypt,3.94,EGY
51,Slovakia,3.94,SVK
52,Singapore,3.94,SGP
53,Afghanistan,3.94,AFG
54,Ecuador,3.93,ECU
55,Belarus,3.93,BLR
56,Haiti,3.93,HTI
57,Ethiopia,3.93,ETH
58,Russia,3.92,RUS
59,North Macedonia,3.92,MKD
60,Cuba,3.92,CUB
61,Sri Lanka,3.92,LKA
62,Venezuela,3.91,VEN
63,Nigeria,3.91,NGA
65,Albania,3.91,ALB
66,Chile,3.91,CHL
67,Bolivia,3.91,BOL
68,Slovenia,3.91,SVN
69,Jamaica,3.91,JAM
70,Sweden,3.91,SWE
71,Estonia,3.9,EST
72,Cyprus,3.9,CYP
73,Finland,3.9,FIN
74,Colombia,3.9,COL
75,Ireland,3.9,IRL
76,Guatemala,3.89,GTM
77,New Zealand,3.89,NZL
78,Trinidad And Tobago,3.88,TTO
80,El Salvador,3.88,SLV
81,Costa Rica,3.85,CRI
82,Saudi Arabia,3.85,SAU
83,Honduras,3.85,HND
84,Azerbaijan,3.85,AZE
85,Israel,3.85,ISR
86,Malta,3.84,MLT
88,Switzerland,3.82,CHE
89,Australia,3.8,AUS
90,Armenia,3.8,ARM
91,Iceland,3.8,ISL
92,Canada,3.79,CAN
93,Latvia,3.79,LVA
94,Morocco,3.69,MAR
95,Norway,3.58,NOR
