,Country,Currency,Currency Code,Iso3
0,Afghanistan,Afghani,AFN,AFG
2,Albania,Lek,ALL,ALB
3,Algeria,Algerian Dinar,DZD,DZA
4,American Samoa,Us Dollar,USD,ASM
5,Andorra,Euro,EUR,ADO
6,Angola,Kwanza,AOA,AGO
9,Antigua And Barbuda,East Caribbean Dollar,XCD,ATG
10,Argentina,Argentine Peso,ARS,ARG
11,Armenia,Armenian Dram,AMD,ARM
12,Aruba,Aruban Florin,AWG,ABW
13,Australia,Australian Dollar,AUD,AUS
14,Austria,Euro,EUR,AUT
15,Azerbaijan,Azerbaijan Manat,AZN,AZE
16,Bahamas,Bahamian Dollar,BSD,BHS
17,Bahrain,Bahraini Dinar,BHD,BHR
18,Bangladesh,Taka,BDT,BGD
19,Barbados,Barbados Dollar,BBD,BRB
20,Belarus,Belarusian Ruble,BYN,BLR
21,Belgium,Euro,EUR,BEL
22,Belize,Belize Dollar,BZD,BLZ
23,Benin,Cfa Franc Bceao,XOF,BEN
24,Bermuda,Bermudian Dollar,BMD,BMU
25,Bhutan,Indian Rupee,INR,BTN
26,Bhutan,Ngultrum,BTN,BTN
27,Bolivia,Boliviano,BOB,BOL
28,Bolivia,Mvdol,BOV,BOL
30,Bosnia And Herzegovina,Convertible Mark,BAM,BIH
31,Botswana,Pula,BWP,BWA
33,Brazil,Brazilian Real,BRL,BRA
35,Brunei Darussalam,Brunei Dollar,BND,BRN
36,Bulgaria,Bulgarian Lev,BGN,BGR
37,Burkina Faso,Cfa Franc Bceao,XOF,BFA
38,Burundi,Burundi Franc,BIF,BDI
39,Cabo Verde,Cabo Verde Escudo,CVE,CPV
40,Cambodia,Riel,KHR,KHM
41,Cameroon,Cfa Franc Beac,XAF,CMR
42,Canada,Canadian Dollar,CAD,CAN
43,Cayman Islands,Cayman Islands Dollar,KYD,CYM
44,Central African Republic,Cfa Franc Beac,XAF,CAF
45,Chad,Cfa Franc Beac,XAF,TCD
46,Chile,Chilean Peso,CLP,CHL
47,Chile,Unidad De Fomento,CLF,CHL
48,China,Yuan Renminbi,CNY,CHN
51,Colombia,Colombian Peso,COP,COL
52,Colombia,Unidad De Valor Real,COU,COL
53,Comoros,Comorian Franc ,KMF,COM
55,Republic Of The Congo,Cfa Franc Beac,XAF,COG
57,Costa Rica,Costa Rican Colon,CRC,CRI
58,Côte D'Ivoire,Cfa Franc Bceao,XOF,CIV
59,Croatia,Kuna,HRK,HRV
60,Cuba,Cuban Peso,CUP,CUB
61,Cuba,Peso Convertible,CUC,CUB
63,Cyprus,Euro,EUR,CYP
64,Czechia,Czech Koruna,CZK,CIV
65,Denmark,Danish Krone,DKK,DNK
66,Djibouti,Djibouti Franc,DJF,DJI
