,Country,Number,Official Language
0,Afghanistan,1,Dari Persian
1,Afghanistan,2,Pashtu
2,Albania,1,Albanian
3,Algeria,1,Arabic
4,Andorra,1,Catalã¡N
5,Angola,1,Portuguese
6,Antigua And Barbuda,1,English
7,Argentina,1,Spanish
8,Armenia,1,Armenian
9,Australia,1,English
10,Austria,1,German
11,Azerbaijan,1,Azerbaijani Turkic
12,Bahamas,1,English
13,Bahrain,1,Arabic
14,Bangladesh,1,Bangla
15,Barbados,1,English
16,Belarus,1,Belorussian (White Russian)
17,Belgium,1,Dutch
18,Belgium,2,French
19,Belgium,3,German Less Than
20,Belize,1,English
21,Benin,1,French
22,Bhutan,1,Dzongkha
23,Bolivia,1,Spanish
24,Bolivia,2,Quechua
25,Bolivia,3,Aymara
26,Bosnia And Herzegovina,1,Bosnian
27,Botswana,1,English
28,Brazil,1,Portuguese
29,Brunei,1,Malay
30,Bulgaria,1,Bulgarian
31,Burkina Faso,1,French
32,Burundi,1,Kirundi
33,Burundi,2,French
34,Cambodia,1,Khmer
35,Cameroon,1,French
36,Cameroon,2,English
37,Canada,1,English
38,Canada,2,French
39,Cape Verde,1,Portuguese
40,Central African Republic,1,French
41,Chad,1,French
42,Chad,2,Arabic
43,Chile,1,Spanish
44,China,1,Mandarin
45,China,2,Cantonese
46,Colombia,1,Spanish
47,Comoros,1,Arabic
48,Comoros,2,French
49,"Congo, Democratic Republic Of The",1,French
50,"Congo, Republic Of",1,French
51,Costa Rica,1,Spanish
52,Croatia,1,Croatian
53,Cuba,1,Spanish
54,Cyprus,1,Greek
55,Cyprus,2,Turkish
56,Czech Republic,1,Czech
57,CãÂ´Te D'Ivoire,1,French
58,Denmark,1,Danish
59,Djibouti,1,French
60,Djibouti,2,Arabic
61,Dominica,1,English
62,Dominican Republic,1,Spanish
63,East Timor,1,Tetum
64,East Timor,2,Portuguese
65,Ecuador,1,Spanish
66,Egypt,1,Arabic
67,El Salvador,1,Spanish
68,Equatorial Guinea,1,Spanish
69,Equatorial Guinea,2,French
70,Eritrea,1,Afar
71,Estonia,1,Estonian
72,Ethiopia,1,Amharic
73,Fiji,1,English
74,Finland,1,Finnish
75,Finland,2,Swedish
76,France,1,French
77,Gabon,1,French
78,Gambia,1,English
79,Georgia,1,Georgian
80,Germany,1,German
81,Ghana,1,English
82,Greece,1,Greek
83,Grenada,1,English
84,Guatemala,1,Spanish
85,Guatemala,2,Amerindian Languages
86,Guinea,1,French
87,Guinea-Bissau,1,Portuguese
88,Guyana,1,English
89,Haiti,1,Creole
90,Haiti,2,French
91,Honduras,1,Spanish
92,Hungary,1,Magyar (Hungarian)
93,Iceland,1,Icelandic
94,India,1,Hindi
95,India,2,English
96,India,3,Bengali
97,India,4,Gujarati
98,India,5,Kashmiri
99,India,6,Malayalam
100,India,7,Marathi
101,India,8,Oriya
102,India,9,Punjabi
103,India,10,Tamil
104,India,11,Telugu
105,India,12,Urdu
106,India,13,Kannada
107,India,14,Assamese
108,India,15,Sanskrit
109,India,16,Sindhi
110,Indonesia,1,Bahasa Indonesia
111,Iran,1,Persian
112,Iraq,1,Arabic
113,Ireland,1,English
114,Ireland,2,Irish
115,Israel,1,Hebrew
116,Italy,1,Italian
117,Jamaica,1,English
118,Japan,1,Japanese
119,Jordan,1,Arabic
120,Kazakhstan,1,Kazak
121,Kenya,1,English
122,Kiribati,1,English
123,"Korea, North",1,Korean
124,"Korea, South",1,Korean
125,Kosovo,1,Albanian
126,Kuwait,1,Arabic
127,Kyrgyzstan,1,Kyrgyz
128,Kyrgyzstan,2,Russian
129,Laos,1,Lao
130,Latvia,1,Latvian
131,Lebanon,1,Arabic
132,Lesotho,1,English
133,Lesotho,2,Sesotho
134,Liberia,1,English
135,Libya,1,Arabic
136,Liechtenstein,1,German
137,Lithuania,1,Lithuanian
138,Luxembourg,1,Luxermbourgish (National) French
139,Macedonia,1,Macedonian
140,Macedonia,2,Albanian
141,Madagascar,1,Malagasy
142,Madagascar,2,French
143,Malawi,1,Chichewa
144,Malaysia,1,Bahasa Melayu
145,Maldives,1,Maldivian Dhivehi
146,Mali,1,French
147,Malta,1,Maltese
148,Malta,2,English
149,Marshall Islands,1,Marshallese
150,Mauritania,1,Hassaniya Arabic
151,Mauritius,1,English
152,Mexico,1,Spanish
153,Micronesia,1,English
154,Moldova,1,Moldovan
155,Monaco,1,French
156,Mongolia,1,Mongolian
157,Montenegro,1,Serbian/Montenegrin
158,Morocco,1,Arabic
159,Mozambique,1,Portuguese
160,Myanmar,1,Burmese
161,Namibia,1,English
162,Nauru,1,Nauruan
163,Nepal,1,Nepali
164,Netherlands,1,Dutch
165,Netherlands,2,Frisian
166,New Zealand,1,English
167,New Zealand,2,Maori
168,Nicaragua,1,Spanish
169,Niger,1,French
170,Nigeria,1,English
171,Norway,1,BokmãÂ¥L Norwegian
172,Norway,2,Nynorsk Norwegian
173,Oman,1,Arabic
174,Pakistan,1,Urdu
175,Pakistan,2,English
176,Palau,1,Palauan
