Country,Main Religion,Iso3
Albania,Muslim,ALB
Antigua And Barbuda,Anglican,ATG
Armenia,Armenian Apostolic,ARM
Aruba,Roman Catholic,ABW
Australia,No Religion,AUS
Austria,Roman Catholic,AUT
Bahamas,Baptist,BHS
Bahrain,Muslim,BHR
Bangladesh,Muslim,BGD
Barbados,Anglican,BRB
Belize,Roman Catholic,BLZ
Bermuda,Anglican,BMU
Botswana,Christian,BWA
Brazil,Catholic,BRA
Brunei Darussalam,Muslim,BRN
Bulgaria,Eastern Orthodox,BGR
Burkina Faso,Muslim,BFA
Burundi,Catholic,BDI
Cambodia,Buddhist,KHM
Canada,Roman Catholic,CAN
Cayman Islands,Church Of God,CYM
Chile,Catholic,CHL
Croatia,Catholic,HRV
Cyprus,Orthodox,CYP
Czechia,No Religion,CIV
Côte D'Ivoire,Muslim,CIV
Dominica,Roman Catholic,DMA
Estonia,No Religion,EST
Ethiopia,Orthodox,ETH
Fiji,Christian,FJI
Finland,Lutheran,FIN
Georgia,Christian Orthodox,GEO
Germany,Roman Catholic,DEU
Ghana,Pentecostal,GHA
Guinea,Muslim,GIN
Guinea-Bissau,Muslim,GNB
Hungary,Roman Catholic,HUN
India,Hindu,IND
Indonesia,Muslim,IDN
Iran (Islamic Republic Of),Muslim,IRN
Ireland,Roman Catholic,IRL
Israel,Jewish,ISR
Jamaica,No Religion,JAM
Kazakhstan,Islam ,KAZ
Kenya,Protestant,KEN
Kiribati,Catholic,KIR
Lao People'S Democratic Republic,Buddhist,LAO
Liberia,Christian,LBR
Liechtenstein,Roman Catholic,LIE
Lithuania,Roman Catholic,LTU
Malawi,Christian,MWI
Malaysia,Islam ,MYS
Maldives,Islam ,MDV
Marshall Islands,Protestant,MHL
Mauritius,Hindu,MUS
Mexico,Catholic,MEX
Mongolia,Buddhist,MNG
Montenegro,Christian Orthodox,MNE
Mozambique,Catholic,MOZ
Myanmar,Buddhist,MMR
Nepal,Hindu,NPL
New Zealand,No Religion,NZL
Nicaragua,Catholic,NIC
Niger,Muslim,NER
North Macedonia,Orthodox,MKD
Pakistan,Muslim,PAK
Palau,Catholic,PLW
Paraguay,Catholic,PRY
Peru,Catholic,PER
Philippines,Roman Catholic,PHL
Poland,Roman Catholic,POL
Portugal,Catholic,PRT
Qatar,Muslim,QAT
Republic Of Korea,No Religion,KOR
Republic Of Moldova,Orthodox,MDA
Romania,Orthodox,ROU
Rwanda,Catholic,RWA
Saint Lucia,Roman Catholic,LCA
Saint Vincent And The Grenadines,Anglican,VCT
Samoa,Congregational,WSM
Sao Tome And Principe,Roman Apostolic Catholic,STP
Serbia,Serbian Orthodox,SRB
Seychelles,Roman Catholic,SYC
Singapore,Buddhist,SGP
Sint Maarten (Dutch Part),Roman Catholic,SXM
Slovakia,Roman Catholic,SVK
Slovenia,Catholic,SVN
South Africa,No Religion,ZAF
Sri Lanka,Buddhist,LKA
Suriname,Christian,SUR
Switzerland,Roman Catholic,CHE
Thailand,Buddhist,THA
Timor-Leste,Catholic,TMP
Tonga,Free Wesleyan Church,TON
Trinidad And Tobago,Roman Catholic,TTO
Tuvalu,Ekalesia Kelisiano Tuvalu,TUV
Uganda,Catholic,UGA
United Kingdom Of Great Britain And Northern Ireland,Christian,GBR
Vanuatu,Presbyterian,VUT
Viet Nam,No Religion,VNM
Zambia,Protestant,ZMB
