Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
Albania,ALB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,50.78426859
Algeria,DZA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,33.93366644
American Samoa,ASM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Angola,AGO,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,79.22385228
Anguilla,AIA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,122.29901
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,105.9316737
Argentina,ARG,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,89.23890496
Armenia,ARM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,68.35347203
Aruba,ABW,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,96.83817217
Australia,AUS,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,161.5722031
Austria,AUT,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,132.8664237
Azerbaijan,AZE,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,59.29615378
"Bahamas, The",BHS,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,118.978856
Bahrain,BHR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,79.28039454
Bangladesh,BGD,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,40.85611405
Barbados,BRB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,124.8321682
Belarus,BLR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,66.36256415
Belgium,BEL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,149.1267558
Belize,BLZ,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,66.30142958
Benin,BEN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,57.19327964
Bermuda,BMU,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,198.3574493
Bhutan,BTN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,33.68927736
Bolivia,BOL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,43.09103835
Bonaire,BON,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,156.5706356
Bosnia and Herzegovina,BIH,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,68.98247336
Botswana,BWA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,93.59117854
Brazil,BRA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,90.78664807
Brunei Darussalam,BRN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,50.86229945
Bulgaria,BGR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,56.22522492
Burkina Faso,BFA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,44.87021278
Burundi,BDI,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,43.29240014
Cabo Verde,CPV,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,64.65141922
Cambodia,KHM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,41.38350694
Cameroon,CMR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,54.38801648
